parameter,rms_scaled_sensitivity,peak_scaled_sensitivity
mu_max,1.3127336044718592,30.217022238111618
w_crab,1.2070829318268685,31.33763036277584
Yxs,1.0087782263944907,25.312710310293767
Yxn,0.369019045901092,7.840355774896112
Yps,0.295297773755414,2.4397173271941255
Kcrab,0.21283845287071237,5.4812855758074255
Ks,0.16451147562972152,4.864521622497697
Kn,0.12336076194849262,3.2671337907714624
N_uncouple_exp,0.08539462572682237,2.387414512373525
Pmax,0.08135671412337113,2.2362296225548244
nP,0.07902797373714317,2.1678926409336636
Ko,0.07165124240307921,1.3703000269495789
KiS,0.060061668161623956,1.2386375107952314
qS_ng_max,0.04580857971076474,1.3111007175356744
Ks_cat,0.013795537883923292,0.41052686261414084
N_cat_floor,0.0060281523578704505,0.17722721800460445
kd0,0.0060140630894341875,0.16234611331896281
Kn_cat,0.00534831527986263,0.15651374985043107
ms,0.004449730231424121,0.12095297582477188
kd_eth,1.5850827929809293e-06,4.705438853411965e-05
